"","club","matches_played","wins","draws","losses","season","points","points_per_match"
"107","New York City FC",34,10,7,17,"2015",37,1.08823529411765
"108","Orlando City SC",34,13,9,13,"2015",48,1.41176470588235
"109","Philadelphia Union",34,10,7,17,"2015",37,1.08823529411765
"110","Portland Timbers",34,15,8,11,"2015",53,1.55882352941176
"111","Real Salt Lake",34,11,8,15,"2015",41,1.20588235294118
"112","San Jose Earthquakes",34,13,8,13,"2015",47,1.38235294117647
"113","Seattle Sounders FC",34,15,6,13,"2015",51,1.5
"114","Sporting Kansas City",34,14,9,11,"2015",51,1.5
"115","Toronto FC",34,15,4,15,"2015",49,1.44117647058824
"116","Vancouver Whitecaps",34,16,5,13,"2015",53,1.55882352941176
"121","Chicago Fire",34,6,18,10,"2014",36,1.05882352941176
"122","Chivas USA",34,9,6,19,"2014",33,0.970588235294118
"123","Colorado Rapids Rapids",34,8,8,17,"2014",32,0.941176470588235
"124","Columbus Crew Crew",34,14,10,10,"2014",52,1.52941176470588
"125","DC United",34,17,8,9,"2014",59,1.73529411764706
"126","FC Dallas",34,16,6,11,"2014",54,1.58823529411765
"127","Houston Dynamo",34,11,6,17,"2014",39,1.14705882352941
"128","LA Galaxy",34,17,10,7,"2014",61,1.79411764705882
"129","Montreal Impact",34,6,10,18,"2014",28,0.823529411764706
"130","New England Revolution",34,17,4,13,"2014",55,1.61764705882353
"131","New York Red Bulls",34,13,11,10,"2014",50,1.47058823529412
"132","Philadelphia Union",34,10,12,12,"2014",42,1.23529411764706
"133","Portland Timbers",34,12,13,9,"2014",49,1.44117647058824
"134","Real Salt Lake",34,15,11,8,"2014",56,1.64705882352941
"135","San Jose Earthquakes",34,6,12,16,"2014",30,0.882352941176471
"136","Seattle Sounders FC",34,20,4,10,"2014",64,1.88235294117647
"137","Sporting Kansas City",34,13,8,12,"2014",47,1.38235294117647
"138","Toronto FC",34,11,8,15,"2014",41,1.20588235294118
"139","Vancouver Whitecaps",34,12,14,8,"2014",50,1.47058823529412
"145","Chicago Fire",34,14,7,13,"2013",49,1.44117647058824
"146","Chivas USA",34,6,8,20,"2013",26,0.764705882352941
"147","Colorado Rapids Rapids",34,14,9,11,"2013",51,1.5
"148","Columbus Crew Crew",34,12,5,17,"2013",41,1.20588235294118
"149","DC United",34,3,7,24,"2013",16,0.470588235294118
"150","FC Dallas",34,11,11,12,"2013",44,1.29411764705882
"151","Houston Dynamo",34,14,9,11,"2013",51,1.5
"152","LA Galaxy",34,15,8,11,"2013",53,1.55882352941176
"153","Montreal Impact",34,14,7,13,"2013",49,1.44117647058824
"154","New England Revolution",34,14,9,11,"2013",51,1.5
"155","New York Red Bulls",34,17,8,9,"2013",59,1.73529411764706
"156","Philadelphia Union",34,12,10,12,"2013",46,1.35294117647059
"157","Portland Timbers",34,14,15,5,"2013",57,1.67647058823529
"158","Real Salt Lake",34,16,8,10,"2013",56,1.64705882352941
"159","San Jose Earthquakes",34,14,9,11,"2013",51,1.5
"160","Seattle Sounders FC",34,15,7,12,"2013",52,1.52941176470588
"161","Sporting Kansas City",34,17,7,10,"2013",58,1.70588235294118
"162","Toronto FC",34,6,11,17,"2013",29,0.852941176470588
"163","Vancouver Whitecaps",34,13,9,12,"2013",48,1.41176470588235
"169","Chicago Fire",34,17,6,11,"2012",57,1.67647058823529
"170","Chivas USA",34,7,9,18,"2012",30,0.882352941176471
"171","Colorado Rapids Rapids",34,11,4,19,"2012",37,1.08823529411765
"172","Columbus Crew Crew",34,15,7,12,"2012",52,1.52941176470588
"173","DC United",34,17,7,10,"2012",58,1.70588235294118
"174","FC Dallas",34,9,12,13,"2012",39,1.14705882352941
"175","Houston Dynamo",34,14,11,9,"2012",53,1.55882352941176
"176","LA Galaxy",34,16,6,12,"2012",54,1.58823529411765
"177","Montreal Impact",34,10,10,14,"2012",40,1.17647058823529
"178","New England Revolution",34,9,8,17,"2012",35,1.02941176470588
"179","New York Red Bulls",34,16,9,9,"2012",57,1.67647058823529
"180","Philadelphia Union",34,10,6,18,"2012",36,1.05882352941176
"181","Portland Timbers",34,8,10,16,"2012",34,1
"182","Real Salt Lake",34,17,6,11,"2012",57,1.67647058823529
"183","San Jose Earthquakes",34,19,9,6,"2012",66,1.94117647058824
"184","Seattle Sounders FC",34,15,11,8,"2012",56,1.64705882352941
"185","Sporting Kansas City",34,18,9,7,"2012",63,1.85294117647059
"186","Toronto FC",34,5,8,21,"2012",23,0.676470588235294
"187","Vancouver Whitecaps",34,11,10,13,"2012",43,1.26470588235294
"193","Chicago Fire",34,9,16,9,"2011",43,1.26470588235294
"194","Chivas USA",34,8,12,14,"2011",36,1.05882352941176
"195","Colorado Rapids Rapids",34,12,13,9,"2011",49,1.44117647058824
"196","Columbus Crew Crew",34,13,8,13,"2011",47,1.38235294117647
"197","DC United",34,9,12,13,"2011",39,1.14705882352941
"198","FC Dallas",34,15,7,11,"2011",52,1.52941176470588
"199","Houston Dynamo",34,12,13,9,"2011",49,1.44117647058824
"200","LA Galaxy",34,19,10,5,"2011",67,1.97058823529412
"201","New England Revolution",34,5,13,16,"2011",28,0.823529411764706
"202","New York Red Bulls",34,10,16,8,"2011",46,1.35294117647059
"203","Philadelphia Union",34,11,15,8,"2011",48,1.41176470588235
"204","Portland Timbers",34,11,9,14,"2011",42,1.23529411764706
"205","Real Salt Lake",34,15,8,11,"2011",53,1.55882352941176
"206","San Jose Earthquakes",34,8,14,12,"2011",38,1.11764705882353
"207","Seattle Sounders FC",34,18,9,7,"2011",63,1.85294117647059
"208","Sporting Kansas City",34,13,12,9,"2011",51,1.5
"209","Toronto FC",34,6,15,13,"2011",33,0.970588235294118
"210","Vancouver Whitecaps",34,6,10,18,"2011",28,0.823529411764706
"217","Chicago Fire",30,9,9,12,"2010",36,1.2
"218","Chivas USA",30,8,4,17,"2010",28,0.933333333333333
"219","Colorado Rapids Rapids",30,12,10,8,"2010",46,1.53333333333333
"220","Columbus Crew Crew",30,14,8,8,"2010",50,1.66666666666667
"221","DC United",30,6,4,20,"2010",22,0.733333333333333
"222","FC Dallas",30,12,14,4,"2010",50,1.66666666666667
"223","Houston Dynamo",30,9,6,15,"2010",33,1.1
"224","Sporting Kansas City",30,11,6,13,"2010",39,1.3
"225","LA Galaxy",30,18,5,7,"2010",59,1.96666666666667
"226","New England Revolution",30,9,5,16,"2010",32,1.06666666666667
"227","New York Red Bulls",30,15,6,9,"2010",51,1.7
"228","Philadelphia Union",30,8,7,15,"2010",31,1.03333333333333
"229","Real Salt Lake",30,15,11,4,"2010",56,1.86666666666667
"230","San Jose Earthquakes",30,13,7,10,"2010",46,1.53333333333333
"231","Seattle Sounders FC",30,14,6,10,"2010",48,1.6
"232","Toronto FC",30,9,8,13,"2010",35,1.16666666666667
"241","Chicago Fire",30,11,12,7,"2009",45,1.5
"242","Chivas USA",30,13,6,11,"2009",45,1.5
"243","Colorado Rapids Rapids",30,10,10,10,"2009",40,1.33333333333333
"244","Columbus Crew Crew",30,13,10,7,"2009",49,1.63333333333333
"245","DC United",30,9,13,8,"2009",40,1.33333333333333
"246","FC Dallas",30,11,6,13,"2009",39,1.3
"247","Houston Dynamo",30,13,9,8,"2009",48,1.6
"248","Sporting Kansas City",30,8,9,13,"2009",33,1.1
"249","LA Galaxy",30,12,12,6,"2009",48,1.6
"250","New England Revolution",30,11,9,10,"2009",42,1.4
"251","New York Red Bulls",30,5,6,19,"2009",21,0.7
"252","Real Salt Lake",30,11,7,12,"2009",40,1.33333333333333
"253","San Jose Earthquakes",30,7,9,14,"2009",30,1
"254","Seattle Sounders FC",30,12,11,7,"2009",47,1.56666666666667
"255","Toronto FC",30,10,9,11,"2009",39,1.3
"265","Chicago Fire",30,13,7,10,"2008",46,1.53333333333333
"266","Chivas USA",30,12,7,11,"2008",43,1.43333333333333
"267","Colorado Rapids Rapids",30,11,5,14,"2008",38,1.26666666666667
"268","Columbus Crew Crew",30,17,6,7,"2008",57,1.9
"269","DC United",30,11,4,15,"2008",37,1.23333333333333
"270","FC Dallas",30,8,12,10,"2008",36,1.2
"271","Houston Dynamo",30,13,12,5,"2008",51,1.7
"272","Sporting Kansas City",30,11,10,9,"2008",43,1.43333333333333
"273","LA Galaxy",30,8,9,13,"2008",33,1.1
"274","New England Revolution",30,12,7,11,"2008",43,1.43333333333333
"275","New York Red Bulls",30,10,9,11,"2008",39,1.3
"276","Real Salt Lake",30,10,10,10,"2008",40,1.33333333333333
"277","San Jose Earthquakes",30,8,9,13,"2008",33,1.1
"278","Toronto FC",30,9,8,13,"2008",35,1.16666666666667
"289","Chicago Fire",30,10,10,10,"2007",40,1.33333333333333
"290","Chivas USA",30,15,8,7,"2007",53,1.76666666666667
"291","Colorado Rapids Rapids",30,9,8,13,"2007",35,1.16666666666667
"292","Columbus Crew Crew",30,9,10,11,"2007",37,1.23333333333333
"293","DC United",30,16,7,7,"2007",55,1.83333333333333
"294","FC Dallas",30,13,5,12,"2007",44,1.46666666666667
"295","Houston Dynamo",30,15,7,8,"2007",52,1.73333333333333
"296","Sporting Kansas City",30,11,7,12,"2007",40,1.33333333333333
"297","LA Galaxy",30,9,7,14,"2007",34,1.13333333333333
"298","New England Revolution",30,14,8,8,"2007",50,1.66666666666667
"299","New York Red Bulls",30,12,7,11,"2007",43,1.43333333333333
"300","Real Salt Lake",30,6,9,15,"2007",27,0.9
"301","Toronto FC",30,6,8,17,"2007",26,0.866666666666667
